,feature_66,feature_171,feature_427,feature_3
0,23.2216,0.8247,1.3155,2207.0444
1,27.2716,0.7047,0.6593,2155.3111
2,14.7061,0.7804,1.5403,2173.4556
3,36.0791,0.6262,1.6422,2224.0
4,24.3057,0.969,0.8006,2217.8111
5,19.1189,0.4063,0.7004,2212.3
6,22.2064,0.5595,1.4412,2200.2
7,25.3099,0.8028,1.419,2209.8
8,24.2829,1.0824,1.8268,2186.4111
9,21.0974,0.4433,0.9783,2182.5555
10,23.905,0.4788,1.3358,2173.2778
11,17.5983,0.7978,1.5564,2163.5889
12,32.7483,0.781,1.5814,2162.5556
13,22.3647,0.6332,0.7479,2236.0667
14,22.3694,0.7299,0.6601,2239.4111
15,29.1429,0.5868,0.8463,2227.2444
16,25.61527754470584,0.6062,0.5788,2195.6667
17,44.7837700779622,0.7108,2.02,2207.0444
18,15.0471,0.5162,0.6477,2164.3666
19,22.1659,0.7973,2.0504,2170.0666
20,37.258,0.4828,1.5739,2244.1111
21,21.7095,0.4945,1.5151,2160.6
22,23.1287,0.6531,0.737,2191.5667
23,30.7593,0.5357,1.2606,2227.2222
24,19.2834,0.6458,0.5418,2224.6778
25,27.2876,0.8505,1.7251,2207.3889
26,24.3905,0.6791,2.2004,2173.4556
27,21.2465,0.6177,0.8378,2210.8556
28,26.2754,0.5811,1.9544,2230.4222
29,29.809,0.5744,0.6131,2243.8556
30,41.2374,0.6385,1.3431,2171.9
31,30.4914,0.969,0.4793,2220.4778
32,22.9635,0.909,0.9287,2216.5
33,26.2691,0.377,0.9269,2266.8333
34,21.7926,0.7743,1.2483,2205.7445
35,23.8157,0.5844,1.0257,2124.8444
36,26.4132,0.5595,0.5418,2208.5222
37,30.3233,0.6379,1.1716,2228.4778
38,26.448,0.7512,0.8527,2247.3666
39,44.7837700779622,0.5928,1.4389,2191.9
40,21.6831,0.4433,0.5403,2191.3556
41,27.4102,0.8976,1.2655,2223.0333
42,26.8979,0.5756,0.5996,2165.0333
43,27.3211,0.6023,1.3047,2189.9667
44,31.4501,0.4812,1.5308,2218.0555
45,23.5578,0.7555,0.6632,2217.8667
46,22.1353,0.6491,2.1082,2232.5889
47,32.7577,0.9858,0.6269,2196.8
48,22.7275,0.7769,0.5892,2162.1333
49,33.272,0.5786,1.5991,2178.5889
50,30.1062,0.7997,1.6608,2191.7889
51,25.9809,0.6535,1.7426,2217.8667
52,24.7257,0.7888,0.6011,2207.0444
53,30.7182,0.478,0.6632,2206.4
54,44.7837700779622,0.6723,1.2224,2196.6555
55,26.6305,0.7495,0.5648,2183.1
56,22.5569,0.4955,0.6418,2228.4444
57,26.063,0.8273,0.5445,2203.4556
58,22.1675,0.7141,1.1766,2172.5333
59,39.7257,0.7104,2.2773,2207.0444
60,26.2833,0.8756,0.6101,2246.5778
61,25.8939,0.6512,0.7513843831410831,2206.3
62,26.0522,0.5744,1.1702,2222.0111
63,26.2174,0.8505,1.4616,2207.3889
64,19.9076,0.6332,2.2414,2168.7
65,29.3176,0.5969,1.5379,2160.3667
66,23.6041,0.7984,1.9706,2175.9667
67,24.9899,0.7141,1.1539,2178.6889
68,14.1135,0.6791,2.0544,2238.5444
69,27.9713,0.4067,0.7382,2223.0444
70,37.532,0.5398,1.3796,2191.9
71,24.5799,0.5744,1.2366,2194.9556
72,23.4468,0.647,1.5257,2238.1444
73,30.0288,0.6322,0.4832,2218.0555
74,27.3802,0.7049,1.4317,2204.6667
75,27.3069,0.5365,0.5758,2167.2
76,25.7305,0.3596,1.5604,2231.0555
77,22.0576,0.6139,0.5481,2114.99056738201
78,30.9387,0.6925,1.7736,2199.3
79,22.3195,0.5832,0.6244,2175.1222
80,23.5326,0.8687,1.8291,2233.1556
81,24.7337,0.6995,0.5965,2201.0667
82,26.2439,0.6156,0.5518,2213.9111
83,23.2157,0.4955,1.8725,2179.2
84,20.2591,0.9365,2.1221,2222.3222
85,26.3407,0.733,1.0482,2172.3111
86,37.4668,1.0039,1.4978,2213.7556
87,21.2309,0.7473,0.7851,2183.3111
88,44.7837700779622,0.7555,1.2405,2183.5
89,28.1684,0.4518,1.39,2211.4
90,31.4027,0.6214,1.588,2198.5667
91,28.9181,0.8574,0.6811,2250.3667
92,18.6295,0.6474,1.4069,2173.4889
93,13.8957,0.7141,1.6695,2173.4556
94,28.0428,0.5868,0.557,2187.4111
95,26.4354,0.6475,0.7473,2216.4778
96,29.5723,0.7606,0.7797,2200.0666
97,30.6875,0.7025,0.6728,2195.4444
98,27.7301,0.647,1.4506,2182.4111
99,25.4759,0.8221,0.9418,2211.7222
100,25.02,0.6791,1.7597,2186.9889
101,27.5264,0.7448,1.5321,2170.9667
102,28.5851,0.4059,0.4657,2227.2444
103,26.336,0.9174,0.5311,2218.0555
104,21.0498,0.5272,1.4331,2223.0444
105,24.8429,0.9046,0.6266,2184.8778
106,20.9393,0.5217,0.9017,2162.7556
107,23.8674,0.5756,0.6247,2203.1667
108,17.735,0.8247,0.5238,2178.6889
109,44.7837700779622,0.7367,1.6916,2179.0445
110,26.254,0.6853,1.2856,2136.4111
111,22.9551,0.5097,0.8812,2227.9778
112,23.7582,0.5614,0.5256,2178.1444
113,20.0076,0.7797,0.7915,2223.0444
114,36.3451,0.3415,1.272,2213.2889
115,26.3682,0.6607,1.2353,2285.905176053882
116,22.7319,0.9273,0.4244,2155.6333
117,23.5781,0.482,1.1499,2172.3111
118,17.7542,0.7164,1.4744,2265.1889
119,22.2504,0.4776,2.7418947020340756,2199.6334
120,29.1501,0.8544,1.4873,2183.1
121,23.996556966067455,0.5941,1.2939,2193.310851649966
122,44.7837700779622,0.6523,1.6353,2224.4778
123,25.1172,0.5097,1.3654,2170.7444
124,23.5582,0.7071,0.5748,2218.5778
125,22.513,0.9612,0.4496,2215.1778
126,28.6073,0.482,0.4115,2180.5556
127,30.1818,0.6977,0.8449,2159.0556
128,32.1774,0.5344,1.9127,2205.5
129,20.2515,0.6977,1.0177,2203.4556
130,27.0475,0.909,1.1538,2114.99056738201
131,33.7771,0.6322,1.3867,2194.5889
132,44.7837700779622,0.8333,0.9767,2172.3666
133,23.112,0.7637,0.3917,2210.2778
134,20.9574,0.781,1.0549,2195.1
135,19.9951,0.7007,2.4481,2197.2667
136,25.2645,0.6873,0.5565,2218.0555
137,44.7837700779622,0.6523,1.4959,2205.2222
138,29.012,0.6475,2.7418947020340756,2179.0778
139,36.283,0.5272,1.4018,2173.4889
140,21.9929,0.6062,0.9597,2224.6778
141,30.9009,0.781,1.6516,2187.9889
142,26.3771,0.6322,1.2486,2198.7222
143,37.8425,0.4924,1.5108,2207.9555
144,24.1495,0.6482,1.177,2207.1
145,24.1581,0.4924,0.6995,2231.0555
146,27.7378,0.6371,1.507,2177.3222
147,28.7957,0.5774,1.6801,2207.9555
148,28.4754,0.8273,1.0482,2242.8555
149,22.8177,0.34,0.9541,2201.0667
150,28.2316,0.8737,1.145,2266.8333
151,30.5545,0.8274,1.687,2243.7778
152,44.7837700779622,0.879,1.6433,2221.9444
153,44.7837700779622,0.6385,1.5114,2166.5222
154,22.8392,0.5922,1.8575,2177.3222
155,24.7192,0.6791,0.7827,2197.2667
156,39.8719,0.636,1.4282,2171.8111
157,21.6833,0.5087,1.725,2196.2111
158,21.4549,0.4955,1.1178,2146.9111
159,22.4948,0.4518,1.1846,2221.3667
160,33.5324,0.9845,0.6766,2187.7888
161,31.622,0.7362,1.1462,2180.5556
162,29.1444,0.4645,1.068,2200.7333
163,27.4264,0.6419,0.61,2249.2556
164,23.9846,0.7637,0.9771,2191.1333
165,23.2147,0.76,0.4391,2235.0556
166,21.8556,0.6482,1.5403,2195.1
167,27.0269,0.631,2.4842,2238.5444
168,30.4987,0.791,0.5555,2200.2
169,18.3248,0.5562,1.3887,2178.0778
170,34.2074,0.7512,1.1199,2211.6
171,20.7886,0.6676,0.587,2196.8
172,39.6865,0.6135,1.7284,2196.6555
173,20.1161,0.9365,1.261,2196.6555
174,25.9809,0.909,1.126,2189.3556
175,25.1055,0.7793,0.5593,2181.1889
176,37.5213,0.636,1.3533,2197.2333
177,17.4684,0.7164,0.5947,2239.4223
178,26.7205,0.7512,1.2194,2218.6223
179,24.6207,0.6127,1.429,2195.9778
180,29.7075,0.6995,1.3251,2167.2
181,44.7837700779622,0.7716,0.6224,2178.7333
182,34.3077,0.7914,1.3425,2243.8556
183,24.0276,0.5328,1.2937,2236.1111
184,25.5747,0.6607,1.3582,2209.6667
185,22.1925,0.8687,1.4507,2236.0667
186,22.3699,0.7367,0.948,2214.7111
187,42.2381,0.9737,0.8327,2181.5111
188,25.6635,0.5911,1.6932,2203.4445
189,23.1222,0.5756,1.5101,2173.2778
190,30.222,0.5328,1.42,2173.2778
191,41.5043,0.6723,0.9558,2183.4333
192,44.7837700779622,0.7659,1.4775,2139.2667
193,22.2242,0.8301,0.8521,2184.8889
194,24.4119,0.8537,1.9183,2233.1556
195,25.4657,0.7512,1.036,2226.0667
196,26.114,0.5343,0.9145,2181.0444
197,26.9505,0.5053,1.1351,2141.0667
198,32.7145,0.6697,1.0438,2202.3556
199,21.6961,0.7007,0.499,2197.6444
200,23.7588,0.4126,1.1126,2203.1667
201,26.5186,0.7362,1.0423,2228.7222
202,24.5318,0.823,1.4033,2180.8889
203,22.9188,0.5583,0.6153,2232.0778
204,22.1064,0.3745,1.1443,2194.8
205,23.8635,0.7097,1.416,2200.1222
206,31.6904,0.6262,1.5751,2185.8111
207,19.9232,0.7743,1.1092,2218.8778
208,23.8635,0.6791,0.7485,2176.6334
209,16.8961,0.6053,0.589,2188.7111
210,18.8096,0.3769,1.4645,2234.5222
211,29.6277,0.4188,1.3408,2221.9778
212,22.1063,0.8251,0.6104,2208.4444
213,28.2022,0.7187,0.8961,2200.0666
214,29.2332,0.792,0.5862,2159.0556
215,36.1696,0.5344,0.7666,2192.1889
216,21.0159,0.67,0.8832,2210.3556
